model,num_agents,population,condition,condition_label,treatment,treatment_label,receiver_scope,round,metric,n_runs,mean,ci_low,ci_high
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,2,return_proportion,3,0.1111111111111111,-0.3669614144106825,0.5891836366329046
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,2,zero_receipt_rate,5,0.4,-0.280087380658257,1.0800873806582572
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,2,forced_receiver_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,3,return_proportion,2,0.14583333333333334,-1.7071548573963475,1.998821524063014
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,3,zero_receipt_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,3,forced_receiver_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,4,return_proportion,1,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,4,zero_receipt_rate,5,0.8,0.24471097896044036,1.3552890210395598
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,4,forced_receiver_rate,5,0.8,0.24471097896044014,1.3552890210395598
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,5,return_proportion,2,0.19999999999999998,-2.3412409472864186,2.741240947286419
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,5,zero_receipt_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,5,forced_receiver_rate,5,0.4,-0.280087380658257,1.0800873806582572
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,6,return_proportion,2,0.16666666666666666,-1.9510341227386825,2.2843674560720157
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,6,zero_receipt_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,6,forced_receiver_rate,5,0.2,-0.3552890210395599,0.75528902103956
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,7,return_proportion,1,0.37999999999999995,0.37999999999999995,0.37999999999999995
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,7,zero_receipt_rate,5,0.8,0.24471097896044014,1.3552890210395598
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,7,forced_receiver_rate,5,0.4,-0.280087380658257,1.0800873806582572
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,8,return_proportion,1,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,8,zero_receipt_rate,5,0.8,0.24471097896044036,1.3552890210395598
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,8,forced_receiver_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,9,return_proportion,1,0.445,0.445,0.445
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,9,zero_receipt_rate,5,0.8,0.24471097896044014,1.3552890210395598
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,9,forced_receiver_rate,5,0.4,-0.280087380658257,1.0800873806582572
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,10,return_proportion,0,,,
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,10,zero_receipt_rate,5,1.0,1.0,1.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,all,10,forced_receiver_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,ordinary,1,return_proportion,3,0.24074074074074073,-0.2817477919704193,0.7632292734519007
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,ordinary,1,zero_receipt_rate,5,0.4,-0.280087380658257,1.0800873806582572
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,ordinary,1,forced_receiver_rate,5,0.2,-0.3552890210395599,0.75528902103956
